Key,Estimate,Final
PM-2328,10.00,10.00
PM-2318,4.00,5.00
PM-2150,5.00,6.00
PM-2079,4.00,2.00
PM-2055,6.00,17.00
PM-2045,4.00,2.00
PM-2044,3.00,3.00
PM-2010,4.00,22.00
PM-2009,16.00,21.00
PM-2003,12.00,13.00
PM-1999,12.00,9.00
PM-1904,12.00,13.00
PM-1877,12.00,8.00
PM-1853,8.00,10.00
PM-1850,12.00,4.00
PM-1848,8.00,13.00
PM-1843,8.00,21.00
PM-1841,8.00,15.00
PM-1840,36.00,28.00
PM-1822,14.00,28.00
PM-1821,12.00,28.00
PM-1800,12.00,20.00
PM-1745,8.00,7.00
PM-1642,8.00,4.00
PM-1607,8.00,21.00
PM-1436,10.00,20
PM-1433,4.00,6.00
PM-1095,20.00,45
PM-847,16.00,21.00
PM-382,10.00,14.00
PM-2001,4.00,6.00
PM-1603,8,20
PM-1666,6,6
PM-1849,16,21
PM-2161,4,10
PM-1977,8,22
PM-1554,12,17
